PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Cod
-2.7492818053777404,1.6209217115501113,-1.5637470880190645,-0.23215814661131426,0.6746426330092031,-0.19802951794399207,-0.48760719998282887,-0.6788722989143176,-0.01123608971864012,ARG
2.3278153047742536,-0.22306603002390524,0.18926088550384731,0.09482726359621416,0.41126723900335,0.21633322386112966,-0.4894884951227103,0.13063377602823237,-0.01141082059302407,AUT
-1.3763133087969242,0.2544264354788361,1.982576044806199,-0.399816422238844,-0.7616670426749895,-0.11716493248397812,0.22939532142441457,-0.7918886963092782,-0.08467116013055608,BGR
-0.8002777406671862,0.5792220969078314,-0.9137768296959796,-0.613532774946499,0.11463405152179008,0.10577546374259095,-0.17478490116853757,0.09249046119820957,0.05907508805145757,CHL
-3.6466251540544357,0.604515087157022,-0.5831771545372332,0.22977135150857242,0.6778715933980671,-0.016236312731298694,-0.22186476818287534,0.09250252529350209,-0.09199125396572246,COL
-0.5203466124006226,-1.2735429459228111,0.3170969374744809,-0.7771879333879455,0.5065414906183026,0.4929399267385293,-0.06862480893129962,-0.3880612276310005,0.13397688510293754,CRI
-0.7324963124853595,-1.9699130648170433,-2.806718450528727,-0.21246017606701342,-0.49526938008712756,-0.324604625303164,0.2735564825592645,-0.15513810541389697,0.15071992224375544,HRV
0.8298987833340535,1.5044705463581671,1.4534565094095586,-0.6019303956185397,0.10645618524986808,-0.8108460054782514,0.25976131475219216,0.25481714934693817,0.045230780171009594,CZE
0.6042375449170356,1.197585237795347,0.5040300773208581,-0.6693489522240128,-0.3340866771981171,-0.14487443894236385,0.3450025684643526,0.12601054804401238,0.04378074148768707,EST
2.0283898928109627,-0.9113785841188718,0.4365438105714888,0.15618077097749544,-0.24166872441132345,0.036013305343457744,-0.2741760952017327,0.1764866677086712,-0.01580078052256793,FRA
2.6687010418200003,0.11040992952326653,0.07135031718385197,0.38824863500515705,-0.09547858128075729,-0.3560573716016419,-0.5778566550112277,-0.11590561995160796,0.002171845005861112,DEU
-0.06660826050995605,-0.659125587165587,-0.4074025428376638,-0.17293675311001286,-0.8931921830424856,-0.5426472512260526,-0.27536544391739143,0.28977563073546003,0.04667151935340872,GRC
-3.473812298113684,-2.6850817979369994,1.2341499445214228,0.09784936709684677,1.263155868896882,-0.06717872699078016,0.43736021941788195,0.17147277318181103,-0.05111198144826825,GTM
0.03919468473588999,0.9598926040405139,-1.476908473374313,0.9543998585467884,-1.2324337156161729,0.25861877009560186,0.7286262913592905,0.1158189607996303,0.01231033201034326,HKG
3.5259966834936494,0.7834778238421459,0.4271393383401114,0.43710636576780254,0.769734272609627,0.19234338575923363,-0.12630089191059407,-0.008350602702402716,-0.010087344059521903,ISL
-6.276257864553548,0.17933343500769153,1.294925999241039,1.9595111431375456,0.18115907099269007,-0.17524989098668808,-0.23652853645377536,0.04099887742851028,0.06665898807158162,IND
2.7059889655135243,-0.5055936838718277,0.4040838913463821,-0.4505667341494108,0.3736796595518484,-0.23943612311600246,0.01013547525145032,0.16830786820126065,0.06043551295013548,ISR
0.9153600101733044,-1.3013477027842335,0.43244636630168115,0.3613556688658641,-0.17668974021848452,-0.3156737460997529,-0.7297133867171272,0.6033682917691284,-0.02638962948032152,ITA
1.022009233668385,-0.06756835280697351,0.0490236154791229,0.6160781777176926,-0.5173059468000963,-0.21893763356301407,-0.17022031141438326,0.33352364805604023,-0.0035341246021721295,JPN
-0.7818655286048731,0.632586651361999,0.28237965685074545,-0.7983849858295802,-0.07280594795163954,1.2621211044296787,0.27945800943122173,0.024717511323620118,-0.043739483479184035,MYS
-1.8349708186516513,-0.5963931012423012,-0.013924031816477105,-0.14702726299959296,0.8711469604785606,0.21034034480002914,-0.2779772544063633,0.08197251822672665,-0.017581690596995166,MEX
-2.04481307762551,-2.0767077169000414,-0.36524501760651046,-0.09187566593027358,-0.32212188578811535,-0.7604982486006706,0.3070367654502032,0.10737702604377462,0.05945279922843151,MDA
2.6190944541703867,-0.01035445611972072,-1.472141134720249,-0.06622559015664332,0.27365813808088385,-0.1498290991851255,0.44105233145026623,-0.13447141003270463,-0.35391354180071755,NOR
-2.067381209331176,-1.4394924955861883,0.3014980069529285,-0.3721623788430615,0.06939822572789371,0.8219915808746641,-0.024414590990347113,-0.05001742289866259,-0.06408546510933213,PRY
-3.0033392955647304,-0.05375304485045354,-0.21647738462909588,0.13447799904612665,0.11543910416217053,-0.08451519542413245,0.024901318396507294,0.12711495527661834,-0.01586281814998568,PER
-3.446416102382286,-0.33962800367581214,1.8873966645553701,0.12360474150200737,0.15346166184992463,-0.8155376599638774,0.4735826201228968,0.23319906947879812,-0.047998148692363456,PHL
-0.23176445982570557,0.5190895078954535,-0.6906071972506544,-0.14212074255175003,-0.14612172378879593,-0.45531003613203874,-0.4865906042265107,-0.039056357603393,-0.05900620302804585,POL
-0.4652461984580673,-0.2758028168168885,-0.002391851907333888,-0.9075560348259477,0.18879127600344947,0.030281080123408428,0.3401428271192966,0.1440107320665744,0.06374649875609832,ROU
-0.750736746690209,0.6000330923550046,0.12169970763469655,-0.5195974352623963,-0.8258168891025245,0.17034011322099854,-0.17535837514409272,-0.25145451529519824,-0.017018242588950475,RUS
0.20403351840266745,1.2354982125271328,1.2718467901651191,-0.9293020579716834,-0.1449432679165955,0.016641495585964342,0.30651098645406644,0.14237979310496687,0.011427724872370438,SVK
-2.6274751041085374,0.0525657121123779,0.8099730738000381,0.6249451632990887,-0.12896381678791238,0.2588464939632599,-0.10512831410900846,-0.4510965434768244,0.05713121197450825,ZAF
