Siruta,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica,Localitate
98435,2.237394581015611,0.0,0.0,486.5162390095101,0.0,0.0,0.0,0.0,0.0,Popesti
123013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Icusesti
24711,0.0,270.6880939072107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Racova
131210,106.69405470879177,0.5883718582820228,4.497123246189563,0.05248813969920258,0.0,0.0,0.0,20.271828000403755,347.00908448571715,Oras Busteni
65681,1986.959598592467,1096.1200964420696,121.6257656718363,110.61449237586342,0.0,0.0,0.0,508.5511533950215,0.0,Oras Gaesti
90262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Martinesti
155797,268.40207772220083,345.27395151981534,705.7133512889573,0.0,0.0,0.0,0.0,0.0,0.0,Belint
41113,63.9269588313413,0.0,2170.82425852147,0.0,0.0,0.0,0.0,0.0,0.0,Harseni
106648,66.94129906217437,0.0,140.9562348037513,0.0,0.0,0.0,0.0,3771.3296283431746,0.0,Vadu Izei
49313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.139213602550479,0.0,Scortoasa
8354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Valea Lunga
16551,342.89513981358186,0.0,168.67676431424766,0.0,0.0,504.3422103861518,0.0,0.0,0.0,Godeni
114854,629.2381358340438,87.86407123235767,3634.6977360992705,0.0,0.0,0.0,0.0,6083.2794354456755,0.0,Oras Sovata
65707,0.0,0.0,505.1121621621622,0.0,0.0,140.80180180180182,0.0,0.0,0.0,Gura Foii
73905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rast
147633,0.0,0.0,1431.8472178228276,0.0,0.0,0.0,0.0,0.0,0.0,Oras Cajvana
131256,2451.949166977165,896.3649065843402,296.2926225581519,14.229280885718849,331.64299781763987,36128.03071272688,324.3991057646245,2743.6228509075427,765.7919572044499,Municipiul Campina
32955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ciceu-Giurgesti
106684,6580.366274647476,171.4155988531976,363.23807852085895,0.0,10.554092797378738,0.0,0.0,24.259200748932187,230.62102861154995,Oras Baia Sprie
24766,207.29263635278673,0.0,1.8368540398615587,0.0,34.865855113975414,31.765723833393007,0.0,0.0,0.0,Racaciuni
73923,965.7920662598082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Robanesti
155840,0.0,4.701748127006779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bethausen
98505,81.13322070713166,3.5363822855074214,0.0,0.0,217.29950524918547,0.0,0.0,0.0,0.0,Popricani
131274,0.0,0.0,9.50656991566974,0.0,123.56520886448324,696.7519121396352,0.0,0.0,0.0,Poiana Campina
57546,20.432525951557093,0.0,43.705882352941174,0.0,0.0,0.0,0.0,0.0,0.0,Dabaca
147660,210.08771929824562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ilisesti
41177,77.2155023923445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hoghiz
65752,0.0,1.7051396051929575,0.0,0.0,0.0,0.0,0.0,241.91054597190112,0.0,Petresti
82136,199.90273419991036,0.0,0.0,1.994621246077992,0.0,0.0,0.0,0.0,0.0,Stanesti
164062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Garceni
123102,81.2385637838771,91.5506645952011,0.0,0.0,0.0,51.79026411185914,0.0,0.0,0.0,Ion Creanga
16613,0.0,5.707349081364829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Harsesti
90342,0.0,0.0,15.583873957367933,0.0,0.0,0.0,0.0,0.0,0.0,Orastioara De Sus
8425,782.3003618817853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vidra
114925,251.02090566037737,531.2693962264151,26.306792452830187,0.0,0.0,1827.5345660377359,0.0,41.765433962264154,1.371056603773585,Municipiul Tarnaveni
57582,881.6502920870951,0.26287838555496545,52.30138077535847,0.0,0.0,0.0,4.208709506107276,747.4442379182157,228.6529474243229,Feleacu
172279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pesceana
33015,0.0,72.4704081632653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chiochis
106746,194.51444061443726,4.431511662929621,1048.3481811184365,0.0,0.0,0.0,0.0,164.32358354807403,0.0,Oras Borsa
147713,0.0,0.0,214.2186046511628,0.0,0.0,0.0,0.0,0.0,0.0,Carlibaba
24837,0.0,0.0,29.569769810552046,0.0,0.0,0.0,0.0,0.0,0.0,Rachitoasa
155911,33.778957767349965,0.0,0.0,0.0,0.0,4846.545319832057,0.0,0.0,0.0,Biled
